department,time,resource_usage,utility_allocation,priority,departure_loc,arrival_loc,deadline,return_status,festive_season,shelf_life,status
Logistics,2025-04-04 11:00,86,59,Medium,Anantapur,Kurnool,2025-05-21,No,No,65,Safe
Production,2025-04-04 12:00,78,70,Low,Palakkad,Thrissur,2025-05-22,No,No,75,Safe
Distribution,2025-04-04 13:00,95,41,High,Mathura,Aligarh,2025-05-23,Yes,Yes,15,Bottleneck
Inventory,2025-04-04 14:00,80,69,Low,Nagpur,Amravati,2025-05-24,No,No,90,Safe
Logistics,2025-04-04 15:00,92,46,High,Thiruvananthapuram,Kollam,2025-05-25,Yes,Yes,25,Bottleneck
Production,2025-04-04 16:00,86,59,Medium,Agra,Aligarh,2025-05-26,No,No,60,Safe
Distribution,2025-04-04 17:00,78,70,Low,Dharwad,Belgaum,2025-05-27,No,No,75,Safe
Inventory,2025-04-04 18:00,95,41,High,Karimnagar,Warangal,2025-05-28,Yes,Yes,10,Bottleneck
Logistics,2025-04-04 19:00,80,69,Low,Bhavnagar,Rajkot,2025-05-29,No,No,90,Safe
Production,2025-04-04 20:00,92,46,High,Ghaziabad,Meerut,2025-05-30,Yes,Yes,20,Bottleneck
Inventory,2025-04-04 21:00,86,59,Medium,Erode,Salem,2025-05-31,No,No,65,Safe
Logistics,2025-04-04 22:00,78,70,Low,Nagpur,Amravati,2025-06-01,No,No,75,Safe
Production,2025-04-05 08:00,95,41,High,Thiruvananthapuram,Kollam,2025-06-02,Yes,Yes,15,Bottleneck
Distribution,2025-04-05 09:00,80,69,Low,Agra,Mathura,2025-06-03,No,No,90,Safe
Inventory,2025-04-05 10:00,92,46,High,Belgaum,Dharwad,2025-06-04,Yes,Yes,25,Bottleneck
Logistics,2025-04-05 11:00,86,59,Medium,Aligarh,Mathura,2025-06-05,No,No,60,Safe
Production,2025-04-05 12:00,78,70,Low,Amravati,Nagpur,2025-06-06,No,No,75,Safe
Distribution,2025-04-05 13:00,95,41,High,Kollam,Thiruvananthapuram,2025-06-07,Yes,Yes,15,Bottleneck
Inventory,2025-04-05 14:00,80,69,Low,Warangal,Karimnagar,2025-06-08,No,No,90,Safe
Logistics,2025-04-05 15:00,92,46,High,Rajkot,Bhavnagar,2025-06-09,Yes,Yes,20,Bottleneck
Production,2025-04-05 16:00,86,59,Medium,Meerut,Ghaziabad,2025-06-10,No,No,65,Safe
Distribution,2025-04-05 17:00,78,70,Low,Salem,Erode,2025-06-11,No,No,75,Safe
Inventory,2025-04-05 18:00,95,41,High,Nagpur,Amravati,2025-06-12,Yes,Yes,10,Bottleneck
Logistics,2025-04-05 19:00,80,69,Low,Dharwad,Belgaum,2025-06-13,No,No,90,Safe
Production,2025-04-05 20:00,92,46,High,Mathura,Agra,2025-06-14,Yes,Yes,20,Bottleneck
Inventory,2025-04-05 21:00,86,59,Medium,Kollam,Thiruvananthapuram,2025-06-15,No,No,65,Safe
Logistics,2025-04-05 22:00,78,70,Low,Karimnagar,Warangal,2025-06-16,No,No,75,Safe
Production,2025-04-06 08:00,95,41,High,Bhavnagar,Rajkot,2025-06-17,Yes,Yes,15,Bottleneck
Distribution,2025-04-06 09:00,80,69,Low,Ghaziabad,Meerut,2025-06-18,No,No,90,Safe
Inventory,2025-04-06 10:00,92,46,High,Erode,Salem,2025-06-19,Yes,Yes,25,Bottleneck
